CustomerId,Country,SupportRepId,TotalSpent,NumInvoices,NumTracks,AvgInvoiceValue,FavoriteGenre,FirstPurchase,LastPurchase,RecencyDays,TenureDays,RecencyScore
1,United Kingdom,4,11.49,7,11,1.64,Rock,2019-01-03,2021-05-16,1325,864,2
2,USA,4,14.1,5,13,2.82,Latin,2018-09-28,2020-11-14,1508,778,2
3,Czech Republic,3,5.47,2,5,2.74,Rock,2022-09-18,2024-05-02,243,592,0
4,USA,5,8.62,3,8,2.87,Latin,2018-07-03,2021-06-30,1280,1093,2
5,Belgium,3,12.71,5,12,2.54,Rock,2022-04-07,2024-07-06,178,821,0
6,France,4,69.3,17,67,4.08,Alternative & Punk,2018-04-07,2021-03-25,1377,1083,2
7,USA,5,17.32,4,17,4.33,Pop,2020-07-31,2023-03-26,646,968,1
8,Canada,4,12.21,2,12,6.1,Pop,2023-12-25,2024-07-12,172,200,0
9,France,4,54.43,15,53,3.63,Pop,2018-08-16,2021-08-07,1242,1087,2
10,Portugal,5,58.12,13,51,4.47,R&B/Soul,2020-04-06,2022-09-27,826,904,2
11,Canada,5,23.36,5,22,4.67,Metal,2022-11-15,2024-09-23,99,678,0
12,United Kingdom,3,1.24,1,1,1.24,Jazz,2022-05-09,2024-01-14,352,615,0
13,Portugal,5,10.4,4,10,2.6,Rock,2019-04-20,2021-08-28,1221,861,2
14,Brazil,3,7.41,4,7,1.85,Latin,2020-03-18,2022-11-12,780,969,2
15,USA,3,34.42,15,33,2.29,Rock,2019-10-06,2022-08-31,853,1060,2
16,USA,4,34.18,9,32,3.8,Rock,2019-09-03,2022-04-14,992,954,2
17,Hungary,4,45.98,15,44,3.07,Rock,2018-10-11,2021-05-31,1310,963,2
18,United Kingdom,4,15.41,6,15,2.57,Reggae,2020-03-01,2022-08-10,874,892,2
19,Italy,5,48.96,13,48,3.77,Rock,2019-07-12,2022-04-12,994,1005,2
20,Canada,3,6.85,1,6,6.85,Easy Listening,2020-10-17,2023-02-16,684,852,1
21,Ireland,4,48.53,13,42,3.73,Easy Listening,2020-11-24,2023-03-10,662,836,1
22,Canada,3,32.36,9,32,3.6,Rock,2019-09-24,2022-08-21,863,1062,2
23,Austria,4,29.28,8,23,3.66,Jazz,2020-07-02,2023-02-02,698,945,1
24,Brazil,5,4.07,3,4,1.36,Rock,2020-08-07,2022-09-18,835,772,2
25,Germany,4,15.07,2,14,7.54,Rock,2017-08-05,2020-03-30,1737,968,2
26,Brazil,4,15.27,4,12,3.82,Jazz,2022-04-02,2024-11-18,43,961,0
27,USA,4,72.37,17,69,4.26,Alternative & Punk,2018-10-15,2021-04-10,1361,908,2
